point ,geomorph_zone,potential_dist,TSR ,realTSR,Y-decimal,X-decimal,rad_raster,altitude_m,slope,logslope,aspect ,E,N,plan curvature,plan_num,profile_curv,profile_num,curvature DEM,stoniness_surf,stoniness_soil,veg_type,veg_cover,texture_class,sorting,sand fraction,pH_field,soil_class,SSD
T36,development,,1897.8,113.2,46.41358333,9.854944444,1228917.50000000000,2111,2,0.301029996,44,0.69,0.7193398,straight,2,straight,2,0.16,85,40,,10,sand,poor,coarse sand,7,humiskeletic leptosol,1.8
T19,fluvial,,1939.2,71.8,46.41363889,9.857222222,1237345.62500000000,2093,35,1.544068044,228,-0.74,-0.669130606,concave,3,straight,2,-0.16,20,10,,80,sand,poor,coarse sand,5.5,humic fluvisol,0.9
T35,development,,1908.5,102.5,46.41375,9.855166667,1207624.75000000000,2105,10,1,57,0.84,0.544639035,concave,3,concave,3,0,40,40,,60,sand,poor,coarse sand,7,humiskeletic leptosol,1.2
T17,development,,1939.1,71.9,46.41383333,9.858027778,1215674.25000000000,2095,15,1.176091259,297,-0.89,0.4539905,concave,3,convex,1,-0.16,90,5,,10,sand,poor,coarse sand,7,haplic leptosol,0
T34,development,,1907.7,103.3,46.4145,9.855583333,1013058.37500000000,2094,1,0,262,-0.99,-0.139173101,straight,2,straight,2,-0.32,5,20,,95,sand,better,medium sand,7,humic leptosol,3.2
T16,development,,1935.9,75.1,46.41472222,9.858277778,1216706.12500000000,2087,25,1.397940009,252,-0.95,-0.309016994,concave,3,concave,3,-0.48,50,20,,50,sand,poor,coarse sand,7,humic leptosol,0.8
T33,development,,1920.7,90.3,46.41477778,9.856111111,1189457.62500000000,2089,25,1.397940009,140,0.64,-0.766044443,convex,1,concave,3,0,80,10,,10,sand,poor,coarse sand,7,humic leptosol,1.8
T32,development,,1893.7,117.3,46.41527778,9.855472222,1014505.62500000000,2087,30,1.477121255,270,-1,1.22515E-16,convex,1,convex,1,0.32,40,20,,60,sand,poor,coarse sand,6.5,humic leptosol,1.6
T15,development,,1928.6,82.4,46.41547222,9.859111111,1163984.50000000000,2082,45,1.653212514,75,0.97,0.258819045,convex,1,straight,2,0.16,30,20,,70,sandy loam,poor,medium sand,6,humic leptosol,1.6
T31,development,,1899.1,111.9,46.41572222,9.856,1203322.25000000000,2078,1,0,4,0.07,0.99756405,straight,2,concave,3,-0.16,80,40,,20,sand,poor,coarse sand,6,humiskeletic leptosol,3
